work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Industry Sector,Top Skills Required,Certifications Preferred,Educational Requirements,Job Demand Trends,Career Progression Path,Job Posting Sources,Work-Life Balance Score,Job Satisfaction Rating,Job Growth Rate (%),Security Clearance Required,Primary Cybersecurity Domain,Remote Work Availability,Bonus Eligibility
2022,MI,FT,Information Security Officer,97900,USD,97900,US,50,US,L,Education,General Security Knowledge,Security+,Bachelor’s,Decreasing,Entry Level → Mid Level → Senior Level,LinkedIn,3.428138844,4.096478576,8.05,Yes,Identity Management,Hybrid,No
2022,SE,FT,IT Security Analyst,90000,USD,90000,US,100,US,S,Technology,"Vulnerability Assessment, Penetration Testing, IDS/IPS",CEH,Certification Only,Stable,System Admin → IT Security Analyst → Security Architect,LinkedIn,3.658827232,3.610349312,17.38,Secret,Network Security,Yes,No
2021,SE,FT,Security Consultant,175000,USD,175000,US,100,US,L,Education,General Security Knowledge,AWS Security,Certification Only,Stable,Entry Level → Mid Level → Senior Level,Glassdoor,3.1536406,4.184162101,5.86,No,Application Security,Yes,No
2022,MI,FT,Cyber Security Analyst,89998,USD,89998,US,0,US,L,Healthcare,"Firewall Management, Network Security, Cryptography",CISM,Certification Only,Increasing,Network Engineer → Cyber Security Analyst → Security Consultant,Company Website,3.666908691,3.834426019,27.73,No,Network Security,No,No
2022,MI,FT,Information Security Specialist,150000,USD,150000,US,100,US,L,Education,General Security Knowledge,CISSP,Certification Only,Increasing,Entry Level → Mid Level → Senior Level,Indeed,3.277921876,3.948289884,11.47,No,Risk Management,Yes,Yes
2022,MI,FT,Security Analyst,115000,USD,115000,US,100,US,L,Finance,"SOC Analysis, Threat Intelligence, SIEM",AWS Security,Bachelor’s,Increasing,IT Support → Security Analyst → Security Engineer,ZipRecruiter,3.19258033,4.813009333,21.56,No,Network Security,Yes,Yes
2022,MI,FT,Information Security Officer,135000,USD,135000,US,50,US,L,Finance,General Security Knowledge,CISSP,Bachelor’s,Stable,Entry Level → Mid Level → Senior Level,ZipRecruiter,3.746836399,3.595464704,12.79,No,Governance & Compliance,Hybrid,No
2022,EX,FT,Information Security Manager,102000,USD,102000,US,50,US,L,Technology,General Security Knowledge,CISSP,Certification Only,Decreasing,Entry Level → Mid Level → Senior Level,ZipRecruiter,4.740253445,2.969044215,18.0,Top Secret,Governance & Compliance,Hybrid,Yes
2022,SE,FT,Penetration Tester,108000,USD,108000,US,100,US,L,Consulting,General Security Knowledge,Security+,Master’s,Stable,Entry Level → Mid Level → Senior Level,Glassdoor,3.202362339,3.446936725,18.67,Yes,Application Security,Yes,Yes
2022,SE,FT,Cyber Security Consultant,200000,USD,200000,US,100,US,M,Consulting,General Security Knowledge,CISM,Certification Only,Decreasing,Entry Level → Mid Level → Senior Level,Indeed,3.068383691,2.589890736,9.62,No,Network Security,Yes,Yes
2022,EN,FT,SOC Analyst,85000,CHF,89676,CH,50,CH,L,Retail,General Security Knowledge,CISM,Bachelor’s,Decreasing,Entry Level → Mid Level → Senior Level,LinkedIn,2.600522015,3.253479971,29.24,No,Network Security,Hybrid,No
2022,EN,FT,Cyber Security Analyst,50000,USD,50000,US,0,US,S,Technology,"Firewall Management, Network Security, Cryptography",AWS Security,Master’s,Stable,Network Engineer → Cyber Security Analyst → Security Consultant,Indeed,4.534674337,3.101326113,24.38,No,Network Security,No,Yes
2022,SE,FT,DevSecOps Engineer,157000,USD,157000,US,0,US,M,Retail,General Security Knowledge,CISSP,Bachelor’s,Decreasing,Entry Level → Mid Level → Senior Level,Glassdoor,4.758041108,3.856809766,28.49,Yes,Application Security,No,Yes
2022,SE,FT,DevSecOps Engineer,108000,USD,108000,US,0,US,M,Government,General Security Knowledge,Security+,Bachelor’s,Stable,Entry Level → Mid Level → Senior Level,ZipRecruiter,4.421084065,3.15290201,27.37,Yes,Cloud Security,No,Yes
2022,EX,FT,Director of Information Security,148000,USD,148000,US,0,US,L,Consulting,General Security Knowledge,AWS Security,Certification Only,Increasing,Entry Level → Mid Level → Senior Level,Indeed,4.524297636,4.107543696,19.95,No,Identity Management,No,Yes
2022,MI,FT,Security Engineer,130000,USD,130000,US,0,US,M,Education,General Security Knowledge,OSCP,Bachelor’s,Increasing,Entry Level → Mid Level → Senior Level,Glassdoor,2.946352523,4.645179409,28.05,No,Cloud Security,No,Yes
2022,MI,FT,Security Engineer,120000,USD,120000,US,0,US,M,Retail,General Security Knowledge,CEH,Bachelor’s,Stable,Entry Level → Mid Level → Senior Level,LinkedIn,3.808686467,2.739291371,7.21,No,Cloud Security,No,Yes
2022,MI,FT,Information Security Compliance Lead,450000,DKK,65475,DK,50,DK,L,Healthcare,General Security Knowledge,AWS Security,PhD,Decreasing,Entry Level → Mid Level → Senior Level,LinkedIn,2.57367621,4.057422638,9.9,Yes,Identity Management,Hybrid,Yes
2022,SE,FT,Threat Hunter,150000,USD,150000,US,100,CH,L,Technology,General Security Knowledge,AWS Security,Master’s,Increasing,Entry Level → Mid Level → Senior Level,LinkedIn,2.863151391,2.925136652,6.13,Yes,Network Security,Yes,No
2022,EN,FT,Cloud Security Engineer,500000,INR,6522,IN,100,IN,L,Education,General Security Knowledge,CISSP,Certification Only,Decreasing,Entry Level → Mid Level → Senior Level,LinkedIn,3.718364661,4.042158465,13.13,Top Secret,Cloud Security,Yes,Yes
2022,SE,FT,Threat Intelligence Analyst,184800,USD,184800,US,100,US,M,Retail,General Security Knowledge,AWS Security,PhD,Increasing,Entry Level → Mid Level → Senior Level,LinkedIn,3.999862909,3.086157035,14.72,No,Identity Management,Yes,No
2022,SE,FT,Threat Intelligence Analyst,130800,USD,130800,US,100,US,M,Technology,General Security Knowledge,OSCP,PhD,Decreasing,Entry Level → Mid Level → Senior Level,Indeed,3.37229098,3.739648302,11.78,Yes,Cloud Security,Yes,No
2022,MI,FT,DevSecOps Engineer,80000,GBP,102646,GB,100,GB,M,Education,General Security Knowledge,OSCP,Bachelor’s,Stable,Entry Level → Mid Level → Senior Level,Indeed,4.265128449,4.866883289,25.72,No,Risk Management,Yes,Yes
2022,MI,FT,DevSecOps Engineer,60000,GBP,76985,GB,100,GB,M,Technology,General Security Knowledge,AWS Security,Certification Only,Increasing,Entry Level → Mid Level → Senior Level,Indeed,3.475669838,3.591079421,13.92,Yes,Network Security,Yes,No
2022,MI,FT,Security Analyst,114000,USD,114000,US,0,US,L,Education,"SOC Analysis, Threat Intelligence, SIEM",CEH,Bachelor’s,Decreasing,IT Support → Security Analyst → Security Engineer,Glassdoor,4.928759954,3.112822419,12.02,Yes,Network Security,No,Yes
2022,SE,FT,Security Engineer,207000,USD,207000,US,100,US,M,Technology,General Security Knowledge,CEH,Master’s,Increasing,Entry Level → Mid Level → Senior Level,Company Website,4.726039839,4.561230646,18.57,Secret,Cloud Security,Yes,No
2022,SE,FT,Security Engineer,153000,USD,153000,US,100,US,M,Consulting,General Security Knowledge,CEH,Master’s,Decreasing,Entry Level → Mid Level → Senior Level,Indeed,3.139846949,4.373178112,8.52,Top Secret,Cloud Security,Yes,Yes
2022,SE,FT,Security Incident Response Engineer,245000,USD,245000,US,100,US,L,Finance,General Security Knowledge,CISSP,Bachelor’s,Decreasing,Entry Level → Mid Level → Senior Level,Company Website,3.195354194,4.689240506,25.05,Yes,Identity Management,Yes,No
2022,SE,FT,IT Security Analyst,98000,USD,98000,US,50,US,L,Government,"Vulnerability Assessment, Penetration Testing, IDS/IPS",CISSP,Bachelor’s,Stable,System Admin → IT Security Analyst → Security Architect,Indeed,3.736737429,3.222258842,6.86,Top Secret,Network Security,Hybrid,Yes
2022,SE,FT,Security Engineer,220100,USD,220100,US,100,US,M,Retail,General Security Knowledge,AWS Security,Certification Only,Decreasing,Entry Level → Mid Level → Senior Level,Glassdoor,4.924258219,3.952868835,29.67,Yes,Cloud Security,Yes,Yes
2022,SE,FT,Security Engineer,176080,USD,176080,US,100,US,M,Finance,General Security Knowledge,AWS Security,Bachelor’s,Stable,Entry Level → Mid Level → Senior Level,Glassdoor,3.850163733,4.982171946,24.31,Secret,Cloud Security,Yes,Yes
2022,SE,FT,Security Engineer,226400,USD,226400,US,100,US,L,Finance,General Security Knowledge,OSCP,Master’s,Stable,Entry Level → Mid Level → Senior Level,ZipRecruiter,3.671970681,4.154989103,9.97,Top Secret,Cloud Security,Yes,No
2022,SE,FT,Security Engineer,124300,USD,124300,US,100,US,L,Finance,General Security Knowledge,Security+,PhD,Decreasing,Entry Level → Mid Level → Senior Level,Indeed,4.396872959,3.45219975,5.14,Yes,Cloud Security,Yes,No
2022,SE,FT,IT Security Engineer,145000,USD,145000,US,100,US,L,Consulting,General Security Knowledge,OSCP,PhD,Increasing,Entry Level → Mid Level → Senior Level,Glassdoor,4.917544954,4.789989587,25.39,Yes,Cloud Security,Yes,Yes
2022,EX,FT,Cloud Security Engineering Manager,50000,USD,50000,CL,100,CL,M,Retail,General Security Knowledge,CEH,PhD,Decreasing,Entry Level → Mid Level → Senior Level,Indeed,3.051688685,2.884220879,22.67,Top Secret,Cloud Security,Yes,Yes
2022,EN,FT,Application Security Analyst,50000,EUR,54129,CH,50,CH,M,Government,General Security Knowledge,CISSP,PhD,Stable,Entry Level → Mid Level → Senior Level,Glassdoor,2.683655548,3.746434708,23.23,No,Network Security,Hybrid,Yes
2022,EN,FT,Data Security Analyst,50000,USD,50000,US,100,US,L,Healthcare,General Security Knowledge,AWS Security,PhD,Increasing,Entry Level → Mid Level → Senior Level,Company Website,4.851948711,4.868890773,24.28,Yes,Network Security,Yes,No
2022,EN,FT,Data Security Analyst,50000,USD,50000,US,100,US,L,Technology,General Security Knowledge,OSCP,PhD,Decreasing,Entry Level → Mid Level → Senior Level,ZipRecruiter,2.971189906,4.441471621,6.85,No,Network Security,Yes,Yes
2022,MI,FT,Detection Engineer,40000,EUR,43303,ES,50,ES,L,Education,General Security Knowledge,AWS Security,Master’s,Increasing,Entry Level → Mid Level → Senior Level,LinkedIn,4.729880922,4.037020935,13.96,Yes,Network Security,Hybrid,No
2022,SE,FT,Security Specialist,238200,USD,238200,US,100,US,L,Healthcare,General Security Knowledge,CISM,Certification Only,Stable,Entry Level → Mid Level → Senior Level,ZipRecruiter,4.510159849,3.937666079,7.9,No,Governance & Compliance,Yes,Yes
2022,SE,FT,Security Specialist,176100,USD,176100,US,100,US,L,Finance,General Security Knowledge,CEH,Bachelor’s,Increasing,Entry Level → Mid Level → Senior Level,Company Website,2.72080666,3.778804986,26.58,Yes,Cloud Security,Yes,Yes
2022,SE,FT,Security Engineer,181940,USD,181940,US,100,US,M,Consulting,General Security Knowledge,CISSP,PhD,Stable,Entry Level → Mid Level → Senior Level,Company Website,2.515384413,4.550966647,20.58,Top Secret,Cloud Security,Yes,Yes
2022,SE,FT,Security Engineer,132000,USD,132000,US,100,US,M,Finance,General Security Knowledge,CISSP,Master’s,Decreasing,Entry Level → Mid Level → Senior Level,LinkedIn,3.095229686,4.830995694,13.27,Yes,Cloud Security,Yes,Yes
2022,SE,FT,Security Engineer,186000,USD,186000,US,100,US,M,Education,General Security Knowledge,CISM,PhD,Increasing,Entry Level → Mid Level → Senior Level,ZipRecruiter,3.773639329,4.654234623,6.59,Top Secret,Cloud Security,Yes,Yes
2022,SE,FT,Security Engineer,148800,USD,148800,US,100,US,M,Technology,General Security Knowledge,OSCP,PhD,Increasing,Entry Level → Mid Level → Senior Level,Indeed,3.94287094,2.843673153,12.77,No,Cloud Security,Yes,Yes
2022,SE,FT,Detection Engineer,252000,USD,252000,US,100,US,M,Retail,General Security Knowledge,OSCP,Master’s,Stable,Entry Level → Mid Level → Senior Level,ZipRecruiter,4.396192484,4.371049378,13.13,No,Application Security,Yes,No
2022,SE,FT,Detection Engineer,145000,USD,145000,US,100,US,M,Education,General Security Knowledge,CISM,PhD,Increasing,Entry Level → Mid Level → Senior Level,LinkedIn,2.636143834,3.650949071,23.24,No,Application Security,Yes,Yes
2022,EX,FT,Chief Information Security Officer,236000,USD,236000,US,100,US,L,Education,General Security Knowledge,Security+,Certification Only,Stable,Entry Level → Mid Level → Senior Level,ZipRecruiter,3.893756047,3.614317212,20.94,No,Risk Management,Yes,Yes
2021,EN,FT,Cyber Security Analyst,12000,SGD,8929,SG,0,SG,M,Finance,"Firewall Management, Network Security, Cryptography",CEH,Bachelor’s,Stable,Network Engineer → Cyber Security Analyst → Security Consultant,Company Website,4.607587699,2.95525182,27.18,Yes,Network Security,No,Yes
2022,SE,FT,Principal Security Engineer,167000,USD,167000,US,100,US,M,Finance,General Security Knowledge,CISSP,Certification Only,Decreasing,Entry Level → Mid Level → Senior Level,Glassdoor,4.888801346,2.667976024,16.81,No,Cloud Security,Yes,Yes
2022,EX,FT,Head of Information Security,175000,USD,175000,US,100,US,M,Technology,General Security Knowledge,AWS Security,Bachelor’s,Stable,Entry Level → Mid Level → Senior Level,Company Website,3.195052943,4.863508478,7.99,Yes,Cloud Security,Yes,Yes
2022,EN,FT,IT Security Analyst,70000,AUD,50002,AU,50,AU,L,Retail,"Vulnerability Assessment, Penetration Testing, IDS/IPS",CEH,PhD,Increasing,System Admin → IT Security Analyst → Security Architect,Indeed,4.9761822,4.880823707,22.83,No,Network Security,Hybrid,Yes
2022,MI,FT,Information Systems Security Engineer,86500,USD,86500,US,50,US,L,Healthcare,General Security Knowledge,CEH,PhD,Stable,Entry Level → Mid Level → Senior Level,ZipRecruiter,3.613573213,4.422905421,24.02,No,Cloud Security,Hybrid,Yes
2022,MI,FT,Staff Application Security Engineer,120000,EUR,129910,FR,50,FR,L,Government,General Security Knowledge,Security+,Certification Only,Stable,Entry Level → Mid Level → Senior Level,LinkedIn,4.146311998,4.796972764,19.03,Top Secret,Cloud Security,Hybrid,Yes
2022,SE,FT,Security Engineer,200100,USD,200100,US,100,US,M,Retail,General Security Knowledge,CISM,PhD,Decreasing,Entry Level → Mid Level → Senior Level,Indeed,4.927711524,4.535675714,24.27,Yes,Cloud Security,Yes,Yes
2022,SE,FT,Security Engineer,160080,USD,160080,US,100,US,M,Finance,General Security Knowledge,CISSP,Certification Only,Stable,Entry Level → Mid Level → Senior Level,Company Website,3.397063127,2.622474251,17.34,Yes,Cloud Security,Yes,Yes
2022,SE,FT,Security Engineer,165400,USD,165400,US,100,US,M,Education,General Security Knowledge,CISSP,Certification Only,Decreasing,Entry Level → Mid Level → Senior Level,Indeed,2.991546858,4.977341461,18.07,No,Cloud Security,Yes,Yes
2022,SE,FT,Security Engineer,132320,USD,132320,US,100,US,M,Healthcare,General Security Knowledge,CISSP,PhD,Decreasing,Entry Level → Mid Level → Senior Level,Company Website,3.278289595,3.851577254,15.69,Yes,Cloud Security,Yes,Yes
2022,SE,FT,Security Specialist,207800,USD,207800,US,100,US,L,Consulting,General Security Knowledge,CEH,Certification Only,Stable,Entry Level → Mid Level → Senior Level,LinkedIn,4.237210056,4.019927473,5.64,No,Cloud Security,Yes,No
2022,SE,FT,Security Specialist,153600,USD,153600,US,100,US,L,Finance,General Security Knowledge,AWS Security,Bachelor’s,Stable,Entry Level → Mid Level → Senior Level,LinkedIn,3.633016335,4.722289742,7.7,Yes,Application Security,Yes,Yes
2021,EN,FT,Information Security Engineer,25000,EUR,29551,IT,100,IT,S,Government,General Security Knowledge,CEH,Certification Only,Stable,Entry Level → Mid Level → Senior Level,ZipRecruiter,4.854783628,3.487316784,5.79,Top Secret,Cloud Security,Yes,No
2021,MI,FT,Information Security Analyst,88000,USD,88000,US,100,US,L,Consulting,General Security Knowledge,AWS Security,PhD,Increasing,Entry Level → Mid Level → Senior Level,Company Website,2.556808538,4.900918609,20.91,Yes,Network Security,Yes,Yes
2022,EX,FT,Information Security Compliance Manager,180000,USD,180000,US,100,US,L,Technology,General Security Knowledge,OSCP,Master’s,Increasing,Entry Level → Mid Level → Senior Level,Indeed,4.380854032,4.460060255,12.86,No,Cloud Security,Yes,No
2022,SE,FT,Security Engineer,210000,USD,210000,CA,100,CA,M,Finance,General Security Knowledge,OSCP,Certification Only,Stable,Entry Level → Mid Level → Senior Level,ZipRecruiter,3.079223114,4.693757855,17.71,Top Secret,Cloud Security,Yes,No
2022,SE,FT,Security Engineer,160000,USD,160000,CA,100,CA,M,Consulting,General Security Knowledge,CEH,PhD,Decreasing,Entry Level → Mid Level → Senior Level,ZipRecruiter,4.296117395,2.571888561,27.69,Top Secret,Cloud Security,Yes,Yes
2022,SE,FT,Vulnerability Management Engineer,250600,USD,250600,US,100,US,M,Technology,General Security Knowledge,CISSP,Certification Only,Decreasing,Entry Level → Mid Level → Senior Level,Indeed,3.430186608,3.263918353,11.23,Yes,Risk Management,Yes,No
2022,SE,FT,Vulnerability Management Engineer,118100,USD,118100,US,100,US,M,Consulting,General Security Knowledge,CISM,Bachelor’s,Decreasing,Entry Level → Mid Level → Senior Level,Company Website,3.115040587,3.918576568,15.26,No,Governance & Compliance,Yes,Yes
2022,SE,FT,Security Engineer,105800,USD,105800,US,100,US,M,Retail,General Security Knowledge,CEH,Master’s,Stable,Entry Level → Mid Level → Senior Level,ZipRecruiter,2.623241818,4.529277128,23.89,Secret,Cloud Security,Yes,Yes
2022,SE,FT,Security Engineer,81600,USD,81600,US,100,US,M,Education,General Security Knowledge,Security+,Master’s,Decreasing,Entry Level → Mid Level → Senior Level,LinkedIn,4.492426704,3.179470045,10.72,Secret,Cloud Security,Yes,No
